model,storage,carrier,condition,price
Apple iPhone 7 Plus,128gb,AT&T,good,125.36
Apple iPhone 7 Plus,128gb,AT&T,poor,112.82
Apple iPhone 7 Plus,128gb,AT&T,faulty,37.61
Apple iPhone 7 Plus,128gb,T-Mobile,good,114.4
Apple iPhone 7 Plus,128gb,T-Mobile,poor,102.96
Apple iPhone 7 Plus,128gb,T-Mobile,faulty,34.32
Apple iPhone 7 Plus,128gb,sprint,good,105.52
Apple iPhone 7 Plus,128gb,sprint,poor,94.97
Apple iPhone 7 Plus,128gb,sprint,faulty,31.66
Apple iPhone 7 Plus,128gb,other,good,65.12
Apple iPhone 7 Plus,128gb,other,poor,58.61
Apple iPhone 7 Plus,128gb,other,faulty,19.54
Apple iPhone 7 Plus,256gb,unlocked,good,161.0
Apple iPhone 7 Plus,256gb,unlocked,poor,144.9
Apple iPhone 7 Plus,256gb,unlocked,faulty,48.3
Apple iPhone 7 Plus,256gb,verizon,good,161.0
Apple iPhone 7 Plus,256gb,verizon,poor,144.9
Apple iPhone 7 Plus,256gb,verizon,faulty,48.3
Apple iPhone 7 Plus,256gb,AT&T,good,136.37
Apple iPhone 7 Plus,256gb,AT&T,poor,122.73
Apple iPhone 7 Plus,256gb,AT&T,faulty,40.91
Apple iPhone 7 Plus,256gb,T-Mobile,good,124.45
Apple iPhone 7 Plus,256gb,T-Mobile,poor,112.01
Apple iPhone 7 Plus,256gb,T-Mobile,faulty,37.34
Apple iPhone 7 Plus,256gb,sprint,good,114.79
Apple iPhone 7 Plus,256gb,sprint,poor,103.31
Apple iPhone 7 Plus,256gb,sprint,faulty,34.44
Apple iPhone 7 Plus,256gb,other,good,70.84
Apple iPhone 7 Plus,256gb,other,poor,63.76
Apple iPhone 7 Plus,256gb,other,faulty,21.25
Apple iPhone 8,64gb,unlocked,good,116.0
Apple iPhone 8,64gb,unlocked,poor,104.4
Apple iPhone 8,64gb,unlocked,faulty,34.8
Apple iPhone 8,64gb,verizon,good,116.0
Apple iPhone 8,64gb,verizon,poor,104.4
Apple iPhone 8,64gb,verizon,faulty,34.8
Apple iPhone 8,64gb,AT&T,good,98.25
Apple iPhone 8,64gb,AT&T,poor,88.43
Apple iPhone 8,64gb,AT&T,faulty,29.48
Apple iPhone 8,64gb,T-Mobile,good,89.67
Apple iPhone 8,64gb,T-Mobile,poor,80.7
Apple iPhone 8,64gb,T-Mobile,faulty,26.9
Apple iPhone 8,64gb,sprint,good,82.71
Apple iPhone 8,64gb,sprint,poor,74.44
Apple iPhone 8,64gb,sprint,faulty,24.81
Apple iPhone 8,64gb,other,good,51.04
Apple iPhone 8,64gb,other,poor,45.94
Apple iPhone 8,64gb,other,faulty,15.31
Apple iPhone 8,128gb,unlocked,good,124.0
Apple iPhone 8,128gb,unlocked,poor,111.6
Apple iPhone 8,128gb,unlocked,faulty,37.2
Apple iPhone 8,128gb,verizon,good,124.0
Apple iPhone 8,128gb,verizon,poor,111.6
Apple iPhone 8,128gb,verizon,faulty,37.2
Apple iPhone 8,128gb,AT&T,good,105.03
Apple iPhone 8,128gb,AT&T,poor,94.53
Apple iPhone 8,128gb,AT&T,faulty,31.51
Apple iPhone 8,128gb,T-Mobile,good,95.85
Apple iPhone 8,128gb,T-Mobile,poor,86.27
Apple iPhone 8,128gb,T-Mobile,faulty,28.76
Apple iPhone 8,128gb,sprint,good,88.41
Apple iPhone 8,128gb,sprint,poor,79.57
Apple iPhone 8,128gb,sprint,faulty,26.52
Apple iPhone 8,128gb,other,good,54.56
Apple iPhone 8,128gb,other,poor,49.1
Apple iPhone 8,128gb,other,faulty,16.37
Apple iPhone 8,256gb,unlocked,good,137.0
Apple iPhone 8,256gb,unlocked,poor,123.3
Apple iPhone 8,256gb,unlocked,faulty,41.1
Apple iPhone 8,256gb,verizon,good,137.0
Apple iPhone 8,256gb,verizon,poor,123.3
Apple iPhone 8,256gb,verizon,faulty,41.1
Apple iPhone 8,256gb,AT&T,good,116.04
Apple iPhone 8,256gb,AT&T,poor,104.44
Apple iPhone 8,256gb,AT&T,faulty,34.81
Apple iPhone 8,256gb,T-Mobile,good,105.9
Apple iPhone 8,256gb,T-Mobile,poor,95.31
Apple iPhone 8,256gb,T-Mobile,faulty,31.77
Apple iPhone 8,256gb,sprint,good,97.68
Apple iPhone 8,256gb,sprint,poor,87.91
Apple iPhone 8,256gb,sprint,faulty,29.3
Apple iPhone 8,256gb,other,good,60.28
Apple iPhone 8,256gb,other,poor,54.25
Apple iPhone 8,256gb,other,faulty,18.08
Apple iPhone 8 Plus,64gb,unlocked,good,182.0
Apple iPhone 8 Plus,64gb,unlocked,poor,163.8
Apple iPhone 8 Plus,64gb,unlocked,faulty,54.6
Apple iPhone 8 Plus,64gb,verizon,good,182.0
Apple iPhone 8 Plus,64gb,verizon,poor,163.8
Apple iPhone 8 Plus,64gb,verizon,faulty,54.6
Apple iPhone 8 Plus,64gb,AT&T,good,154.15
Apple iPhone 8 Plus,64gb,AT&T,poor,138.74
Apple iPhone 8 Plus,64gb,AT&T,faulty,46.25
Apple iPhone 8 Plus,64gb,T-Mobile,good,140.69
Apple iPhone 8 Plus,64gb,T-Mobile,poor,126.62
Apple iPhone 8 Plus,64gb,T-Mobile,faulty,42.21
Apple iPhone 8 Plus,64gb,sprint,good,129.77
Apple iPhone 8 Plus,64gb,sprint,poor,116.79
Apple iPhone 8 Plus,64gb,sprint,faulty,38.93
Apple iPhone 8 Plus,64gb,other,good,80.08
Apple iPhone 8 Plus,64gb,other,poor,72.07
Apple iPhone 8 Plus,64gb,other,faulty,24.02
Apple iPhone 8 Plus,128gb,unlocked,good,196.0
Apple iPhone 8 Plus,128gb,unlocked,poor,176.4
Apple iPhone 8 Plus,128gb,unlocked,faulty,58.8
Apple iPhone 8 Plus,128gb,verizon,good,196.0
Apple iPhone 8 Plus,128gb,verizon,poor,176.4
